Website, Headline, Link
Reutuers,Afghan man pleads not guilty to 2008 kidnapping of American journalist,=HYPERLINK("https://www.reuters.com/article/uk-usa-crime-kidnapping-najibullah/afghan-man-pleads-not-guilty-to-2008-kidnapping-of-american-journalist-idUKKBN27W21C?il=0")
Reutuers,Crisis-hit Peru seeks third president in a week to exit 'nightmare',=HYPERLINK("https://www.reuters.com/article/uk-peru-politics/crisis-hit-peru-seeks-third-president-in-a-week-to-exit-nightmare-idUKKBN27W1LJ?il=0")
Reutuers,EU strikes deal with CureVac for up to 405 million COVID vaccine doses,=HYPERLINK("https://www.reuters.com/article/uk-health-coronavirus-eu-curevac/eu-strikes-deal-with-curevac-for-up-to-405-million-covid-vaccine-doses-idUKKBN27W1YN?il=0")
Reutuers,Scientists sound warning about UK PM Johnson's mass-testing 'moonshot',=HYPERLINK("https://www.reuters.com/article/uk-health-coronavirus-britain-moonshot/scientists-sound-warning-about-uk-pm-johnsons-mass-testing-moonshot-idUKKBN27W1CO?il=0")
Reutuers,Lonza aims to make ingredients for 400 million doses of Moderna's COVID vaccine annually,=HYPERLINK("https://www.reuters.com/article/uk-health-coronavirus-lonza-moderna/lonza-aims-to-make-ingredients-for-400-million-doses-of-modernas-covid-vaccine-annually-idUKKBN27W1NO?il=0")
Reutuers,EU regulators to decide on $30 billion Willis| Aon deal by Dec. 21,=HYPERLINK("https://www.reuters.com/article/uk-willis-towers-m-a-aon-eu/eu-regulators-to-decide-on-30-billion-willis-aon-deal-by-dec-21-idUKKBN27W1ZF?il=0")
Reutuers,Siberian student scales birch tree for internet access as classes move online,=HYPERLINK("https://www.reuters.com/article/uk-health-coronavirus-russia-blogger/siberian-student-scales-birch-tree-for-internet-access-as-classes-move-online-idUKKBN27W1XJ?il=0")
Reutuers,European activist files complaints against Apple's tracking tool,=HYPERLINK("https://www.reuters.com/article/uk-apple-privacy-eu/european-activist-files-complaints-against-apples-tracking-tool-idUKKBN27W0IK?il=0")
Reutuers,European activist files complaints against Apple's tracking tool,=HYPERLINK("https://www.reuters.com/article/us-apple-privacy-eu/european-activist-files-complaints-against-apples-tracking-tool-idUKKBN27W0J1?il=0")
Reutuers,Budget stand-off must be resolved rapidly - EU's Dombrovskis,=HYPERLINK("https://www.reuters.com/article/uk-eu-budget-dombrovskis/budget-stand-off-must-be-resolved-rapidly-eus-dombrovskis-idUKKBN27W1Y9?il=0")
Reutuers,Moderna COVID-19 vaccine results give world more hope,=HYPERLINK("https://www.reuters.com/article/us-health-coronavirus-vaccines-moderna/we-can-stop-covid-19-moderna-vaccine-success-gives-world-more-hope-idUKKBN27W1E6")
Reutuers,								Time is running out for Brexit deal| EU tells Britain,=HYPERLINK("https://www.reuters.com/article/uk-britain-eu/time-is-running-out-for-brexit-deal-eu-tells-britain-idUKKBN27W0OJ")
Reutuers,								Biden to spotlight economy as Trump vows more court challenges to election,=HYPERLINK("https://www.reuters.com/article/uk-usa-election/biden-to-spotlight-economy-as-trump-vows-more-court-challenges-to-election-idUKKBN27W0II")
Reutuers,								PM Johnson says he is well and will govern by Zoom after COVID-19 contact,=HYPERLINK("https://www.reuters.com/article/uk-health-coronavirus-britain/pm-johnson-says-he-is-well-and-will-govern-by-zoom-after-covid-19-contact-idUKKBN27W0N6")
Reutuers,								Scientists sound warning about UK PM Johnson's mass-testing 'moonshot',=HYPERLINK("https://www.reuters.com/article/uk-health-coronavirus-britain-moonshot/scientists-sound-warning-about-uk-pm-johnsons-mass-testing-moonshot-idUKKBN27W1CO")
Reutuers, 		End of lockdown did little for incomes of hardest-hit ,=HYPERLINK("https://www.reuters.com//uk.reuters.com/article/uk-health-coronavirus-britain-incomes/end-of-lockdown-did-little-for-incomes-of-uks-hardest-hit-study-idUKKBN27V0RR")
Reutuers, 		Fed moves closer to joining peers in climate fight,=HYPERLINK("https://www.reuters.com//uk.reuters.com/article/us-climate-change-fed/fed-moves-closer-to-joining-global-peers-in-climate-change-fight-idUKKBN27T2RB")
Reutuers,England losing their way with Southgate's return of caution,=HYPERLINK("https://www.reuters.com/article/uk-soccer-nations-bel-eng/england-losing-their-way-with-southgates-return-of-caution-idUKKBN27W1K0")
Reutuers,Bach projects confidence in Tokyo Games as virus cases surge,=HYPERLINK("https://www.reuters.com/article/uk-olympics-2020-bach-visit/bach-projects-confidence-in-tokyo-games-as-virus-cases-surge-idUKKBN27W01U")
Reutuers,Djokovic thrashes debutant Schwartzman at ATP Finals,=HYPERLINK("https://www.reuters.com/article/uk-tennis-atpfinals/djokovic-thrashes-debutant-schwartzman-at-atp-finals-idUKKBN27W22D")
Reutuers,								Commodity stocks lift FTSE 100 on upbeat China factory data,=HYPERLINK("https://www.reuters.com/article/uk-britain-stocks/commodity-stocks-lift-ftse-100-on-upbeat-china-factory-data-idUKKBN27W0S1")
Reutuers,								'One heck of a ride': SpaceX launches astronauts into space,=HYPERLINK("https://www.reuters.com/article/uk-space-exploration-spacex/one-heck-of-a-ride-spacex-launches-astronauts-into-space-idUKKBN27V0IH")
Reutuers,								Germany postpones decision on COVID-curbs at schools,=HYPERLINK("https://www.reuters.com/article/uk-health-coronavirus-germany/germany-postpones-decision-on-covid-curbs-at-schools-idUKKBN27W19V")
Reutuers,								Crisis-hit Peru seeks third president in a week to exit 'nightmare',=HYPERLINK("https://www.reuters.com/article/uk-peru-politics/crisis-hit-peru-seeks-third-president-in-a-week-to-exit-nightmare-idUKKBN27W1LJ")
Reutuers,								Euro zone needs more help from ECB and govts| policymakers say,=HYPERLINK("https://www.reuters.com/article/uk-ecb-policy-decos/euro-zone-needs-more-help-from-ecb-and-govts-policymakers-say-idUKKBN27W1LR")
Reutuers,								Vodafone increasingly confident after resilient first half,=HYPERLINK("https://www.reuters.com/article/uk-vodafone-group-results/vodafone-increasingly-confident-after-resilient-first-half-idUKKBN27W0NI")
Reutuers,Hungary| Poland block 2021-2027 EU budget| recovery package,=HYPERLINK("https://www.reuters.com/article/uk-eu-budget/hungary-poland-block-2021-2027-eu-budget-recovery-package-idUKKBN27W1UY")
Reutuers,Upholding rule of law standards for EU funds a necessity - Austria's Kurz,=HYPERLINK("https://www.reuters.com/article/uk-eu-budget-kurz/upholding-rule-of-law-standards-for-eu-funds-a-necessity-austrias-kurz-idUKKBN27W225")
Reutuers,Global stocks hit record on economic recovery| vaccine optimism,=HYPERLINK("https://www.reuters.com/article/uk-global-markets/global-stocks-hit-record-on-economic-recovery-vaccine-optimism-idUKKBN27W02R")
Reutuers,Dollar treads water after fresh virus vaccine news,=HYPERLINK("https://www.reuters.com/article/us-global-forex/dollar-treads-water-after-fresh-virus-vaccine-news-idUKKBN27W02A")
Reutuers,World stocks hit record on economic recovery| vaccine optimism,=HYPERLINK("https://www.reuters.com/article/us-global-markets/world-stocks-hit-record-on-economic-recovery-vaccine-optimism-idUKKBN27W010")
Reutuers,Euro zone needs more help from ECB and govts| policymakers say,=HYPERLINK("https://www.reuters.com/article/us-ecb-policy/euro-zone-needs-more-help-from-ecb-and-govts-policymakers-say-idUKKBN27W1LP")
Reutuers,Moving to reassure Downing Street staff| PM Johnson says he's fit,=HYPERLINK("https://www.reuters.com/article/uk-health-coronavirus-britain-downingstr/moving-to-reassure-downing-street-staff-pm-johnson-says-hes-fit-idUKKBN27W1QO")
Reutuers,Brexit trade talks could last another two weeks - Ireland's Coveney,=HYPERLINK("https://www.reuters.com/article/uk-britain-eu-ireland-coveney/brexit-trade-talks-could-last-another-two-weeks-irelands-coveney-idUKKBN27W1IS")
Reutuers,EU needs to show more 'realism' in trade talks| says UK PM's spokesman,=HYPERLINK("https://www.reuters.com/article/uk-britain-eu-johnson-spokesman/eu-needs-to-show-more-realism-in-trade-talks-says-uk-pms-spokesman-idUKKBN27W1QK")
Reutuers,We can stop COVID-19: Moderna vaccine success gives world more hope,=HYPERLINK("https://www.reuters.com/article/uk-health-coronavirus-ema-moderna/we-can-stop-covid-19-moderna-vaccine-success-gives-world-more-hope-idUKKBN27W1BI")
Reutuers,Instant view: Moderna says its vaccine is 94.5% effective in preventing COVID-19,=HYPERLINK("https://www.reuters.com/article/uk-health-coronavirus-vaccines-moderna-i/instant-view-moderna-says-its-vaccine-is-94-5-effective-in-preventing-covid-19-idUKKBN27W1FF")
Reutuers,Germany files espionage charges against Egyptian-born man,=HYPERLINK("https://www.reuters.com/article/uk-germany-egypt/germany-files-espionage-charges-against-egyptian-born-man-idUKKBN27W232")
Reutuers,Mastercard gets U.S. DoJ green light for Finicity deal,=HYPERLINK("https://www.reuters.com/article/us-finicity-m-a-mastercard/mastercard-gets-u-s-doj-green-light-for-finicity-deal-idUKKBN27W22F")
Reutuers,European activist files complaints against Apple's tracking tool,=HYPERLINK("https://www.reuters.com/article/us-apple-privacy-eu/european-activist-files-complaints-against-apples-tracking-tool-idUKKBN27W0J1")
Reutuers,ECB to probe major payment system outage,=HYPERLINK("https://www.reuters.com/article/us-ecb-payment-outage/ecb-to-probe-major-payment-system-outage-idUKKBN27W1WQ")
Reutuers,Wrexham approve bid by actors Reynolds| McElhenney to buy club,=HYPERLINK("https://www.reuters.com/article/uk-soccer-england-wxh-reynolds-mcelhenne/wrexham-approve-bid-by-actors-reynolds-mcelhenney-to-buy-club-idUKKBN27W1WX")
Reutuers,England losing their way with Southgate's return of caution,=HYPERLINK("https://www.reuters.com/article/uk-soccer-nations-bel-eng/england-losing-their-way-with-southgates-return-of-caution-idUKKBN27W1K0")
Reutuers,Bach projects confidence in Tokyo Games as virus cases surge,=HYPERLINK("https://www.reuters.com/article/uk-olympics-2020-bach-visit/bach-projects-confidence-in-tokyo-games-as-virus-cases-surge-idUKKBN27W01U")
The New York Times,Spain’s Other Covid Casualties: Undetected Cancer Cases,=HYPERLINK("https://www.nytimes.com/2020/11/16/world/europe/spain-coronavirus-cancer.html")
The New York Times,Iota| Barreling Toward Central America| Becomes a Category 4 Hurricane,=HYPERLINK("https://www.nytimes.com/2020/11/15/world/americas/hurricane-iota.html")
The New York Times,After War Between Armenia and Azerbaijan| Peace Sees Winners and Losers Swap Places,=HYPERLINK("https://www.nytimes.com/2020/11/15/world/europe/azerbaijan-armenia-nagorno-karabakh.html")
The New York Times,Japanese ‘Monster Wolf’ Aims to Scare Off Wild Bears,=HYPERLINK("https://www.nytimes.com/2020/11/15/world/asia/japanese-monster-wolf-robot.html")
The New York Times,They Once Ruled Ethiopia. Now They Are Fighting Its Government.,=HYPERLINK("https://www.nytimes.com/2020/11/15/world/africa/ethiopia-abiy-tigray.html")
The New York Times,Peru’s President Steps Down After Just 6 Days| Leaving Country Adrift,=HYPERLINK("https://www.nytimes.com/2020/11/15/world/americas/peru-president-resigns.html")
The New York Times,With Progressive Politics on March in New Zealand| Maori Minister Blazes New Trails,=HYPERLINK("https://www.nytimes.com/2020/11/15/world/asia/new-zealand-progressives-nanaia-mahuta.html")
The New York Times,Her Abuse Was a ‘Family Matter|’ Until It Went Live,=HYPERLINK("https://www.nytimes.com/2020/11/15/world/asia/china-women-domestic-abuse.html")
The New York Times,Egypt Unearths New Mummies Dating Back 2|500 Years,=HYPERLINK("https://www.nytimes.com/2020/11/15/world/middleeast/egypt-discovery-mummies.html")
The New York Times,States Vow Extra Scrutiny of Coronavirus Vaccine,=HYPERLINK("https://www.nytimes.com/2020/11/16/us/coronavirus-vaccine-states-trump.html")
The New York Times,Early Data Show Moderna’s Coronavirus Vaccine Is 94.5% Effective,=HYPERLINK("https://www.nytimes.com/2020/11/16/health/Covid-moderna-vaccine.html")
The New York Times,Biden’s China Policy? A Balancing Act for a Toxic Relationship,=HYPERLINK("https://www.nytimes.com/2020/11/16/business/economy/biden-china-trade-policy.html")
The New York Times,I:red_heart_selector:NY in Crisis: How Do Tourist Shops Survive With No Tourists?,=HYPERLINK("https://www.nytimes.com/2020/11/16/nyregion/souvenir-shops-business-loss.html")
The New York Times,For Small-Business Owners| a Shifting Landscape of Resources,=HYPERLINK("https://www.nytimes.com/2020/11/16/business/smallbusiness/small-business-loans-assistance-resources.html")
The New York Times,China extiende su alcance en el Caribe y descoloca a Estados Unidos,=HYPERLINK("https://www.nytimes.com/es/2020/11/09/espanol/america-latina/influencia-china-caribe.html")
The New York Times,El teléfono de un médico suena en tiempos de covid y él llega a tu casa,=HYPERLINK("https://www.nytimes.com/es/2020/11/05/espanol/america-latina/mexico-covid.html")
The New York Times,Joe Biden: los desafíos y prioridades de su política exterior,=HYPERLINK("https://www.nytimes.com/es/2020/11/07/espanol/mundo/biden-politica-exterior.html")
The New York Times,Vacuna contra el coronavirus: Pfizer difunde datos prometedores,=HYPERLINK("https://www.nytimes.com/es/2020/11/09/espanol/ciencia-y-tecnologia/vacuna-pfizer.html")
The New York Times,Cómo trabajar a distancia… desde el extranjero,=HYPERLINK("https://www.nytimes.com/es/2020/11/16/espanol/consejos-teletrabajo.html")
The New York Times,‘Yogurt Ladies’ of South Korea Deliver More Than Dairy,=HYPERLINK("https://www.nytimes.com/2020/11/14/world/asia/south-korea-yogurt-yakult-ajumma.html")
The New York Times,Along the Seine| Booksellers Try to Hold Off an Unhappy Ending,=HYPERLINK("https://www.nytimes.com/2020/11/07/world/europe/france-paris-seine-books.html")
The New York Times,A New Front Opens in the Russia-Ukraine Conflict: Borscht,=HYPERLINK("https://www.nytimes.com/2020/11/04/world/europe/russia-ukraine-borscht.html")
The New York Times,In Russia’s Idyllic Wine Country| Dark Tales of Dreams Dashed,=HYPERLINK("https://www.nytimes.com/2020/11/01/world/europe/russia-wine-black-sea.html")
The New York Times,In Azerbaijan| a String of Explosions| Screams and Then Blood,=HYPERLINK("https://www.nytimes.com/2020/10/28/world/europe/azerbaijan-barda-armenia-rockets-karabakh.html")
The New York Times,Hurricane Iota| Now a Category 5 Storm| Takes Aim at Central America,=HYPERLINK("https://www.nytimes.com/2020/11/16/world/americas/hurricane-iota.html")
The New York Times,Different Virus Responses,=HYPERLINK("https://www.nytimes.com/2020/11/16/briefing/covid-cases-boy-scouts-spacex-launch.html")
The New York Times,Britain’s prime minister is quarantining| and other news around the world.,=HYPERLINK("https://www.nytimes.com/2020/11/16/world/britains-prime-minister-is-quarantining-and-other-news-around-the-world.html")
The New York Times,U.S. Election| Boris Johnson| Nagorno-Karabakh: Your Monday Briefing,=HYPERLINK("https://www.nytimes.com/2020/11/15/briefing/us-election-boris-johnson-nagorno-karabakh.html")
The New York Times,Japanese City Uses ‘Monster Wolf’ to Scare Off Wild Bears,=HYPERLINK("https://www.nytimes.com/video/world/asia/100000007453021/japan-monster-wolf-wild-bears.html")
The New York Times,Mummies Discovered in Egypt Necropolis,=HYPERLINK("https://www.nytimes.com/video/world/middleeast/100000007455720/egypt-saqqara-coffins.html")
The New York Times,Your Monday Briefing,=HYPERLINK("https://www.nytimes.com/2020/11/15/briefing/china-trade-virus-us-spacex.html")
The New York Times,Erdogan’s Visit to Northern Cyprus Stokes Decades-Long Dispute,=HYPERLINK("https://www.nytimes.com/2020/11/15/world/europe/cyprus-turkey-erdogan.html")
The New York Times,Iran Denies That Al Qaeda Leader Was Killed in Tehran,=HYPERLINK("https://www.nytimes.com/2020/11/14/world/middleeast/iran-al-qaeda-leader-killed.html")
The New York Times,Western Sahara Independence Group Ends Truce With Morocco,=HYPERLINK("https://www.nytimes.com/2020/11/14/world/middleeast/western-sahara-morocco-polisario.html")
The Guardian,Coronavirus  Moderna Covid vaccine candidate almost 95% effective| trials show,=HYPERLINK("https://www.theguardian.com/world/2020/nov/16/moderna-covid-vaccine-candidate-almost-95-effective-trials-show")
The Guardian,Ethiopia  Troops 'liberate' key town in Tigray| claim officials,=HYPERLINK("https://www.theguardian.com/world/2020/nov/16/ethiopian-troops-liberate-key-town-in-tigray-claim-officials")
The Guardian,Live  Trump lashes out after campaign reportedly scraps key claim in Pennsylvania suit,=HYPERLINK("https://www.theguardian.com/us-news/live/2020/nov/16/trump-biden-latest-election-news-today-live-updates")
The Guardian,Brexit  Major breakthrough needed to avert no deal| says Irish minister,=HYPERLINK("https://www.theguardian.com/politics/2020/nov/16/major-breakthrough-needed-to-avert-no-deal-brexit-says-irish-minister")
The Guardian,EU  Crisis as Hungary says it will veto seven-year budget,=HYPERLINK("https://www.theguardian.com/world/2020/nov/16/eu-hungary-veto-budget-viktor-orban")
The Guardian,Spain  Shocking footage of ‘severely injured’ pigs on farms released,=HYPERLINK("https://www.theguardian.com/environment/2020/nov/16/shocking-footage-of-severely-injured-pigs-on-spanish-farms-released")
The Guardian,Brazil  Setback for Bolsonaro after poor results in local elections,=HYPERLINK("https://www.theguardian.com/world/2020/nov/16/setback-for-bolsonaro-after-poor-results-in-brazil-local-elections")
The Guardian,France  Suspected jihadist goes on trial over train attack foiled by US tourists,=HYPERLINK("https://www.theguardian.com/world/2020/nov/16/ayoub-el-khazzani-goes-on-trial-in-paris-over-2015-train-attack")
The Guardian,Moldova election  Blow to Kremlin as opposition candidate sweeps to victory,=HYPERLINK("https://www.theguardian.com/world/2020/nov/16/moldova-election-blow-kremlin-opposition-candidate-sweeps-victory-maia-sandu")
The Guardian,Ticks  Study finds ticks choose humans over dogs when temperature rises,=HYPERLINK("https://www.theguardian.com/science/2020/nov/16/study-finds-ticks-choose-humans-over-dogs-when-temperature-rises")
The Guardian,'Technical problem'  French broadcaster apologises after killing off Queen and Pele,=HYPERLINK("https://www.theguardian.com/world/2020/nov/16/french-broadcaster-apologises-after-killing-off-queen-and-pele")
The Guardian,Climate crisis  A youth group helped Biden win. Now they want him to fix the issue,=HYPERLINK("https://www.theguardian.com/us-news/2020/nov/16/joe-biden-climate-crisis-ennvironment-energy")
The Guardian,America's flawed democracy  The five key areas where it is failing,=HYPERLINK("https://www.theguardian.com/us-news/2020/nov/16/america-flawed-democracy-five-key-areas")
The Guardian,'Heal the damage'  Activists urge Joe Biden to move beyond ‘border security’,=HYPERLINK("https://www.theguardian.com/environment/2020/nov/16/joe-biden-us-mexico-border-security-activists")
The Guardian,We're being told Biden won't be able to achieve much. We must reject that idea,=HYPERLINK("https://www.theguardian.com/commentisfree/2020/nov/16/joe-biden-presidency-political-system")
The Guardian,Germany  Schools and parties in spotlight as Merkel weighs new Covid rules,=HYPERLINK("https://www.theguardian.com/world/2020/nov/16/merkel-germany-soft-covid-lockdown-chancellor-social-interaction")
The Guardian,Germany  Schools and parties in spotlight as Merkel weighs new Covid rules,=HYPERLINK("https://www.theguardian.com/world/2020/nov/16/merkel-germany-soft-covid-lockdown-chancellor-social-interaction")
The Guardian,Live  UK: four more Tory MPs self-isolating after No 10 meeting,=HYPERLINK("https://www.theguardian.com/politics/live/2020/nov/16/uk-coronavirus-live-matt-hancock-boris-johnson-testing-care-homes-visits-christmas-covid-latest")
The Guardian,Live  UK: four more Tory MPs self-isolating after No 10 meeting,=HYPERLINK("https://www.theguardian.com/politics/live/2020/nov/16/uk-coronavirus-live-matt-hancock-boris-johnson-testing-care-homes-visits-christmas-covid-latest")
The Guardian,US  Michigan and Washington impose new restrictions as country's cases pass 11m,=HYPERLINK("https://www.theguardian.com/us-news/2020/nov/16/we-are-at-the-precipice-us-records-11-million-covid-cases")
The Guardian,US  Michigan and Washington impose new restrictions as country's cases pass 11m,=HYPERLINK("https://www.theguardian.com/us-news/2020/nov/16/we-are-at-the-precipice-us-records-11-million-covid-cases")
The Guardian,Exclusive  Damage to multiple organs recorded in 'long Covid' cases,=HYPERLINK("https://www.theguardian.com/world/2020/nov/15/damage-to-multiple-organs-recorded-in-long-covid-cases")
The Guardian,Exclusive  Damage to multiple organs recorded in 'long Covid' cases,=HYPERLINK("https://www.theguardian.com/world/2020/nov/15/damage-to-multiple-organs-recorded-in-long-covid-cases")
The Guardian,How we made  Take My Breath Away| the Top Gun theme tune by Berlin,=HYPERLINK("https://www.theguardian.com/music/2020/nov/16/giorgio-moroder-take-my-breath-away-top-gun-how-we-made-berlin-tom-cruise")
The Guardian,Global development  How war threatens Ethiopia's struggle against worst locust swarm in 25 years,=HYPERLINK("https://www.theguardian.com/global-development/2020/nov/16/war-ethiopia-locust-swarm")
The Guardian,Home Alone at 30  How the unlikely Christmas comedy has endured,=HYPERLINK("https://www.theguardian.com/film/2020/nov/16/home-alone-at-30-how-the-unlikely-christmas-comedy-has-endured")
The Guardian,'It was love at first sight'  Readers on their new lockdown pets,=HYPERLINK("https://www.theguardian.com/lifeandstyle/2020/nov/16/it-was-love-at-first-sight-readers-on-their-new-lockdown-pets-coronavirus")
The Guardian,A kitchen in Rome  A recipe for life – and for pasta,=HYPERLINK("https://www.theguardian.com/food/2020/nov/16/rachel-roddy-a-recipe-for-life-and-for-pasta")
The Guardian,How we met    She was the love of my life – but she had to focus on getting sober,=HYPERLINK("https://www.theguardian.com/lifeandstyle/2020/nov/16/how-we-met-she-was-the-love-of-my-life-but-she-had-to-focus-on-getting-sober")
The Guardian,UK  Heathrow workers to strike for four days in December over pay cuts,=HYPERLINK("https://www.theguardian.com/uk-news/2020/nov/16/heathrow-workers-to-strike-for-four-days-in-december-over-pay-cuts")
The Guardian,Europe  Coronavirus live news: US vaccine 94.5% effective in trials; Sweden limits public gatherings to eight people,=HYPERLINK("https://www.theguardian.com/world/live/2020/nov/16/coronavirus-live-news-us-confirms-1m-cases-in-a-week-boris-johnson-selfisolating")
The Guardian,Middle East and North Africa  Syrian refugees help put centuries-old glassware on show in Paisley,=HYPERLINK("https://www.theguardian.com/uk-news/2020/nov/16/syrian-refugees-help-put-centuries-old-glassware-on-show-in-paisley")
The Guardian,Africa  Ethiopian troops 'liberate' key town in Tigray| claim officials,=HYPERLINK("https://www.theguardian.com/world/2020/nov/16/ethiopian-troops-liberate-key-town-in-tigray-claim-officials")
The Guardian,US  Michigan and Washington impose new restrictions as US Covid cases pass 11m,=HYPERLINK("https://www.theguardian.com/us-news/2020/nov/16/we-are-at-the-precipice-us-records-11-million-covid-cases")
The Guardian,Americas  Hurricane Iota strengthens to catastrophic category 4 storm as it nears Central America,=HYPERLINK("https://www.theguardian.com/world/2020/nov/16/hurricane-iota-latest-path-category-4-storm-central-america")
The Guardian,Asia Pacific  Citizen journalist facing jail in China for Wuhan Covid reporting,=HYPERLINK("https://www.theguardian.com/world/2020/nov/16/citizen-journalist-facing-jail-in-china-for-wuhan-covid-reporting-zhang-zhan")
